word_one	word_two	raw_cooc	log10_cooc
elefante	pennello	4	0.6020599913279624
elefante	spada	6	0.7781512503836436
elefante	gomma	15	1.1760912590556813
elefante	pastello	0	0
elefante	penna	26	1.414973347970818
elefante	quaderno	8	0.9030899869919435
elefante	tenda	1	0.0
elefante	vaso	3	0.47712125471966244
gatto	leone	179	2.2528530309798933
gatto	maiale	233	2.367355921026019
gatto	mucca	180	2.255272505103306
gatto	serpente	82	1.9138138523837167
gatto	tigre	509	2.7067177823367587
gatto	topo	1323	3.1215598441875008
gatto	poltrona	15	1.1760912590556813
gatto	letto	662	2.8208579894397
gatto	scopa	35	1.5440680443502757
gatto	sedia	137	2.1367205671564067
camicia	gatto	25	1.3979400086720377
armadio	gatto	27	1.4313637641589874
gatto	pettine	39	1.591064607026499
gatto	giacca	35	1.5440680443502757
gatto	pennello	0	0
gatto	spada	39	1.591064607026499
gatto	gomma	57	1.7558748556724915
gatto	pastello	3	0.47712125471966244
gatto	penna	143	2.155336037465062
gatto	quaderno	11	1.041392685158225
gatto	tenda	26	1.414973347970818
gatto	vaso	45	1.6532125137753437
leone	maiale	38	1.5797835966168101
leone	mucca	54	1.7323937598229686
leone	serpente	78	1.8920946026904804
leone	tigre	637	2.8041394323353503
leone	topo	136	2.1335389083702174
leone	poltrona	1	0.0
leone	letto	69	1.8388490907372552
leone	scopa	10	1.0
leone	sedia	32	1.505149978319906
camicia	leone	38	1.5797835966168101
armadio	leone	1460	3.164352855784437
leone	pettine	0	0
giacca	leone	26	1.414973347970818
leone	pennello	3	0.47712125471966244
leone	spada	123	2.089905111439398
gomma	leone	12	1.0791812460476249
leone	pastello	1	0.0
leone	penna	103	2.012837224705172
leone	quaderno	5	0.6989700043360189
leone	tenda	5	0.6989700043360189
leone	vaso	8	0.9030899869919435
maiale	mucca	332	2.5211380837040362
maiale	serpente	43	1.6334684555795866
maiale	tigre	61	1.7853298350107671
maiale	topo	76	1.8808135922807914
maiale	poltrona	1	0.0
letto	maiale	56	1.7481880270062005
maiale	scopa	4	0.6020599913279624
maiale	sedia	20	1.3010299956639813
camicia	maiale	8	0.9030899869919435
armadio	maiale	2	0.3010299956639812
maiale	pettine	2	0.3010299956639812
giacca	maiale	8	0.9030899869919435
maiale	pennello	1	0.0
maiale	spada	4	0.6020599913279624
gomma	maiale	17	1.2304489213782739
maiale	pastello	0	0
maiale	penna	179	2.2528530309798933
maiale	quaderno	0	0
maiale	tenda	3	0.47712125471966244
maiale	vaso	1	0.0
mucca	serpente	18	1.255272505103306
mucca	tigre	28	1.4471580313422192
mucca	topo	49	1.6901960800285136
mucca	poltrona	0	0
letto	mucca	66	1.8195439355418688
mucca	scopa	5	0.6989700043360189
mucca	sedia	28	1.4471580313422192
camicia	mucca	8	0.9030899869919435
armadio	mucca	1	0.0
mucca	pettine	5	0.6989700043360189
giacca	mucca	12	1.0791812460476249
mucca	pennello	1	0.0
mucca	spada	5	0.6989700043360189
gomma	mucca	9	0.9542425094393249
mucca	pastello	0	0
mucca	penna	21	1.3222192947339193
mucca	quaderno	2	0.3010299956639812
mucca	tenda	1	0.0
mucca	vaso	1	0.0
serpente	tigre	400	2.6020599913279625
serpente	topo	89	1.9493900066449128
poltrona	serpente	0	0
letto	serpente	64	1.806179973983887
scopa	serpente	3	0.47712125471966244
sedia	serpente	15	1.1760912590556813
camicia	serpente	6	0.7781512503836436
armadio	serpente	2	0.3010299956639812
pettine	serpente	2	0.3010299956639812
giacca	serpente	14	1.146128035678238
pennello	serpente	0	0
serpente	spada	22	1.3424226808222062
gomma	serpente	26	1.414973347970818
pastello	serpente	1	0.0
penna	serpente	12	1.0791812460476249
quaderno	serpente	5	0.6989700043360189
serpente	tenda	1	0.0
serpente	vaso	3	0.47712125471966244
tigre	topo	56	1.7481880270062005
poltrona	tigre	1	0.0
letto	tigre	47	1.6720978579357175
scopa	tigre	9	0.9542425094393249
sedia	tigre	38	1.5797835966168101
camicia	tigre	107	2.0293837776852097
armadio	tigre	3	0.47712125471966244
pettine	tigre	1	0.0
giacca	tigre	17	1.2304489213782739
pennello	tigre	0	0
spada	tigre	22	1.3424226808222062
gomma	tigre	12	1.0791812460476249
pastello	tigre	0	0
penna	tigre	13	1.1139433523068367
quaderno	tigre	10	1.0
tenda	tigre	12	1.0791812460476249
tigre	vaso	0	0
poltrona	topo	7	0.8450980400142568
letto	topo	58	1.7634279935629373
scopa	topo	3	0.47712125471966244
sedia	topo	107	2.0293837776852097
camicia	topo	13	1.1139433523068367
armadio	topo	2	0.3010299956639812
pettine	topo	1	0.0
giacca	topo	9	0.9542425094393249
pennello	topo	20	1.3010299956639813
spada	topo	20	1.3010299956639813
gomma	topo	93	1.968482948553935
pastello	topo	0	0
penna	topo	346	2.5390760987927767
quaderno	topo	1388	3.142389466118836
tenda	topo	7	0.8450980400142568
topo	vaso	0	0
letto	poltrona	132	2.12057393120585
poltrona	scopa	0	0
poltrona	sedia	90	1.9542425094393248
camicia	poltrona	3	0.47712125471966244
armadio	poltrona	25	1.3979400086720377
pettine	poltrona	0	0
giacca	poltrona	2	0.3010299956639812
pennello	poltrona	0	0
poltrona	spada	1	0.0
gomma	poltrona	1	0.0
pastello	poltrona	0	0
penna	poltrona	3	0.47712125471966244
poltrona	quaderno	1	0.0
poltrona	tenda	2	0.3010299956639812
poltrona	vaso	2	0.3010299956639812
letto	scopa	37	1.568201724066995
letto	sedia	1473	3.168202746842631
camicia	letto	77	1.8864907251724818
armadio	letto	1448	3.1607685618611283
letto	pettine	24	1.380211241711606
giacca	letto	145	2.161368002234975
letto	pennello	6	0.7781512503836436
letto	spada	42	1.6232492903979006
gomma	letto	98	1.9912260756924949
letto	pastello	4	0.6020599913279624
letto	penna	85	1.9294189257142929
letto	quaderno	41	1.6127838567197355
letto	tenda	132	2.12057393120585
letto	vaso	38	1.5797835966168101
scopa	sedia	31	1.4913616938342726
camicia	scopa	1	0.0
armadio	scopa	1	0.0
pettine	scopa	0	0
giacca	scopa	3	0.47712125471966244
pennello	scopa	0	0
scopa	spada	6	0.7781512503836436
gomma	scopa	1	0.0
pastello	scopa	0	0
penna	scopa	6	0.7781512503836436
quaderno	scopa	1	0.0
scopa	tenda	4	0.6020599913279624
scopa	vaso	0	0
camicia	sedia	31	1.4913616938342726
armadio	sedia	251	2.399673721481038
pettine	sedia	13	1.1139433523068367
giacca	sedia	73	1.863322860120456
pennello	sedia	1	0.0
sedia	spada	22	1.3424226808222062
gomma	sedia	64	1.806179973983887
pastello	sedia	2	0.3010299956639812
penna	sedia	63	1.7993405494535817
quaderno	sedia	17	1.2304489213782739
sedia	tenda	28	1.4471580313422192
sedia	vaso	102	2.0086001717619175
armadio	camicia	44	1.6434526764861874
camicia	pettine	7	0.8450980400142568
camicia	giacca	822	2.9148718175400505
camicia	pennello	1	0.0
camicia	spada	21	1.3222192947339193
camicia	gomma	17	1.2304489213782739
camicia	pastello	0	0
camicia	penna	33	1.5185139398778875
camicia	quaderno	11	1.041392685158225
camicia	tenda	10	1.0
camicia	vaso	1	0.0
armadio	pettine	1	0.0
armadio	giacca	68	1.8325089127062364
armadio	pennello	1	0.0
armadio	spada	3	0.47712125471966244
armadio	gomma	5	0.6989700043360189
armadio	pastello	0	0
armadio	penna	4	0.6020599913279624
armadio	quaderno	4	0.6020599913279624
armadio	tenda	26	1.414973347970818
armadio	vaso	1	0.0
giacca	pettine	2	0.3010299956639812
pennello	pettine	0	0
pettine	spada	14	1.146128035678238
gomma	pettine	6	0.7781512503836436
pastello	pettine	0	0
penna	pettine	8	0.9030899869919435
pettine	quaderno	3	0.47712125471966244
pettine	tenda	0	0
pettine	vaso	0	0
giacca	pennello	1	0.0
giacca	spada	17	1.2304489213782739
giacca	gomma	24	1.380211241711606
giacca	pastello	0	0
giacca	penna	22	1.3424226808222062
giacca	quaderno	12	1.0791812460476249
giacca	tenda	4	0.6020599913279624
