Word 1	Word 2	Pixel overlap	Structural similarity
elefante	gatto	-0.48985766662517494	-0.9483703711574795
elefante	leone	-0.12983076841989316	0.01950819181692822
elefante	maiale	-0.8048812025547165	-0.5145194667743698
elefante	mucca	-0.5236101883318841	-0.5047140391773164
elefante	serpente	-1.6449439650335793	-1.4962779590553403
elefante	tigre	-0.3023436571432014	-0.9471648075255311
elefante	topo	-0.39235038169455383	-1.1155933744660442
elefante	poltrona	-0.744876719520439	0.6126252427617355
elefante	letto	-0.5198599081422498	-0.6544327090752151
elefante	scopa	-0.5386113090904215	-1.0225477833348489
elefante	sedia	-0.2910928165742983	-0.023756442572313116
camicia	elefante	-0.9398912893816812	-0.4497179667538803
armadio	elefante	-0.7373761591411703	0.16614688254957652
elefante	pettine	-0.6286180336417739	0.036982484154996484
elefante	giacca	-0.5948655119349369	-0.7103101382837473
elefante	pennello	-1.236163424363051	0.04194478696539203
elefante	spada	-0.7261253185722671	-1.1619336923657042
elefante	gomma	-0.7373761591411703	-0.7162795385579332
elefante	pastello	-0.883637086537038	-0.162552514028486
elefante	penna	-0.4936079468148093	-0.8264527928627784
elefante	quaderno	-1.5586875206718613	-0.30191928828406733
elefante	tenda	-0.7073739176240954	-0.9524115417713022
elefante	vaso	-0.08107712595464657	-0.6387716877501706
gatto	leone	1.640301481089057	1.1380282814933407
gatto	maiale	0.7702364770931194	1.0615920327689576
gatto	mucca	1.2090192592807225	1.1199178791408264
gatto	serpente	-0.8273828836925227	-0.9615325640707897
gatto	tigre	1.3927829885730618	0.4908035741202468
gatto	topo	1.80156352924359	1.3720387380936738
gatto	poltrona	-0.3660984203671133	-1.2295520657402945
gatto	letto	1.3590304668662248	0.6332107737843499
gatto	scopa	1.0290058101781456	0.9185038092005217
gatto	sedia	1.5802969980549073	1.3947463352793572
camicia	gatto	-0.036073763678906405	-0.601814757236768
armadio	gatto	-0.24983973448832042	-0.7603999017408997
gatto	pettine	0.05018268068268375	-0.43181900390996214
gatto	giacca	0.7252331148175071	0.6711814077512522
gatto	pennello	-0.6398688742106771	-0.9034307145072149
gatto	spada	0.8827448827822779	0.7536551477478736
gatto	gomma	0.22644584959562633	0.7123432272362691
gatto	pastello	-0.3510972996085759	-0.640193020694417
gatto	penna	1.085260013022789	0.9024251541485173
gatto	quaderno	-1.0148968931743683	-1.70888795376949
gatto	tenda	0.9014962837304497	0.7649143686130367
gatto	vaso	1.7228076452611407	1.0079069074740303
leone	maiale	0.6577280714039608	0.50156592825374
leone	mucca	1.0815097328331544	0.7958432110659263
leone	serpente	-0.7823795214169104	-1.3076206075980938
leone	tigre	1.9065713745533521	1.8507587812731798
leone	topo	1.7865624084850527	1.012260891417373
leone	poltrona	-0.17483413069550544	-0.4432474582859363
leone	letto	1.554045036727467	1.1861718735362319
leone	scopa	1.1827672979532822	1.0987933049229175
leone	sedia	1.7303082056404095	1.6834563942207375
camicia	leone	0.0051793184070714985	-0.09231687814556808
armadio	leone	-0.04732460424793737	-0.7809133012797056
leone	pettine	0.14768996561330489	0.5056704199960746
giacca	leone	0.8827448827822779	0.4056114725988364
leone	pennello	-0.39985094207382255	-0.6292110343812543
leone	spada	0.9352488054371589	0.5797214583017809
gomma	leone	0.09143576276866165	-0.5805604228348493
leone	pastello	-0.06607600519610915	-0.2316878879293846
leone	penna	1.0140046894196082	0.7694619381229365
leone	quaderno	-0.7036236374344611	0.16451919409315507
leone	tenda	1.1827672979532822	1.655795925697317
leone	vaso	2.0153295000528764	1.4277435229777786
maiale	mucca	2.139088746310938	2.450686266994918
maiale	serpente	-1.1799092215185356	-0.9025655101784692
maiale	tigre	0.5939733081801768	0.3410027767163901
maiale	topo	0.9202476846786215	0.6800377152249768
maiale	poltrona	-0.6436191544003114	-0.6813269376871179
letto	maiale	0.6689789119729918	0.3259308860542993
maiale	scopa	0.6577280714039608	0.7550129750555028
maiale	sedia	0.6652286317833574	0.5300912823429881
camicia	maiale	-0.298593376953567	0.3325183173995498
armadio	maiale	-0.48985766662517494	-0.31338191784054803
maiale	pettine	-0.21608721278161125	0.375914238361177
giacca	maiale	0.6202252695076172	1.3629170797240961
maiale	pennello	-1.1124041781049894	-1.4791438927343088
maiale	spada	0.4177101392672342	0.267001147711827
gomma	maiale	-0.2910928165742983	-0.18349948723432272
maiale	pastello	-0.4448543043494348	0.6785706536450623
maiale	penna	0.5039665836288244	0.08212925147333751
maiale	quaderno	-1.149906980001333	-0.9045980708165167
maiale	tenda	0.4102095788879655	0.780057008684104
maiale	vaso	0.9239979648682558	0.12280103900287007
mucca	serpente	-0.7598778402791043	-0.25981952665441355
mucca	tigre	0.9952532884714365	0.5534024707979904
mucca	topo	1.362780747055987	1.4049564084720128
mucca	poltrona	-0.37359898074638204	-1.0777938162631509
letto	mucca	0.7927381582309255	0.3583287704348005
mucca	scopa	1.0140046894196082	0.7759228204892529
mucca	sedia	0.980252167712899	0.6637962958547465
camicia	mucca	0.03143127973451198	0.821700574039456
armadio	mucca	0.07643464201012423	0.24423451725807913
mucca	pettine	-0.01732236273073463	0.06641832113696698
giacca	mucca	1.0590080516952205	2.698100866884347
mucca	pennello	-0.7561275600894699	-0.988715806079061
mucca	spada	0.8077392789895909	0.7213532186052316
gomma	mucca	0.17394192694074537	0.24650304599387393
mucca	pastello	-0.3023436571432014	-0.2093953214686868
mucca	penna	0.9577504865750929	0.9380077715367565
mucca	quaderno	-1.0824019365879145	-1.5342492375816292
mucca	tenda	0.6239755496972517	0.6758025488568058
mucca	vaso	1.2915254234528062	0.7963149702965268
serpente	tigre	-0.7486269997102012	-0.9682808618581366
serpente	topo	-0.39235038169455383	-0.03287391762301333
poltrona	serpente	-1.3261701489144035	-0.9429309180409211
letto	serpente	-0.8273828836925227	-0.844691344218079
scopa	serpente	-0.9023884874853376	-0.7645775844528422
sedia	serpente	-0.9698935308987561	-1.3639852801143493
camicia	serpente	-1.2324131441734167	-0.8993214870375121
armadio	serpente	-1.0036460526054651	0.37519416710947995
pettine	serpente	-1.4799316366895399	-0.8860406424071403
giacca	serpente	-0.9623929705194874	-0.9538032522178066
pennello	serpente	-1.4086763130863593	-0.7266858770380314
serpente	spada	-0.8948879271060689	-0.6753639295835233
gomma	serpente	-1.2061611828459762	-0.7540624066673398
pastello	serpente	-1.4086763130863593	-1.6140186357750759
penna	serpente	-0.7373761591411703	-0.806273986410393
quaderno	serpente	-1.7724534914812753	-1.4580543824469032
serpente	tenda	-1.0824019365879145	-0.5620825184101897
