word_one	word_two	surprisal_w_two
tenda	poltrona	65.07786560058594
tenda	elefante	66.02287292480469
tenda	scopa	32.598731994628906
tenda	quaderno	33.65449142456055
tenda	vaso	25.566545486450195
tenda	spada	28.806415557861328
tenda	orso	28.797170639038086
tenda	maiale	33.52657699584961
tenda	gatto	27.484703063964844
tenda	penna	30.379358291625977
tenda	armadio	36.2104377746582
tenda	coniglio	46.71397018432617
tenda	giacca	44.02210235595703
letto	gomma	49.09653091430664
letto	sedia	35.8076286315918
letto	pennello	31.04302406311035
letto	topo	13.583681106567383
letto	cavallo	36.84072494506836
letto	leone	29.277210235595703
letto	serpente	73.63050079345703
letto	pastello	36.76306915283203
letto	scimmia	65.38860321044922
letto	cane	11.326786041259766
letto	tigre	42.12055969238281
letto	pettine	61.40032196044922
letto	camicia	51.208038330078125
letto	gabbiano	58.0730094909668
letto	tenda	40.51225662231445
letto	passero	30.898252487182617
letto	mucca	33.30387878417969
letto	gufo	35.632877349853516
letto	poltrona	80.05583190917969
letto	elefante	69.42778778076172
letto	scopa	43.1095085144043
letto	quaderno	29.69710922241211
letto	vaso	34.733619689941406
letto	spada	40.541046142578125
letto	orso	26.705102920532227
letto	maiale	30.851394653320312
letto	gatto	31.800779342651367
letto	penna	34.710838317871094
letto	armadio	46.175418853759766
letto	coniglio	56.30502700805664
letto	giacca	47.524688720703125
passero	gomma	40.501747131347656
passero	sedia	29.912099838256836
passero	pennello	30.02949333190918
passero	topo	7.439289569854736
passero	cavallo	33.050682067871094
passero	leone	25.767833709716797
passero	serpente	58.85468292236328
passero	pastello	27.210851669311523
passero	scimmia	57.04458999633789
passero	cane	8.89273738861084
passero	tigre	38.69377136230469
passero	pettine	54.901485443115234
passero	camicia	46.692054748535156
passero	gabbiano	49.404090881347656
passero	tenda	30.491973876953125
passero	letto	4.311356067657471
passero	mucca	32.440765380859375
passero	gufo	27.668954849243164
passero	poltrona	57.72099304199219
passero	elefante	60.1756477355957
passero	scopa	37.943626403808594
passero	quaderno	33.712860107421875
passero	vaso	27.970638275146484
passero	spada	30.4860897064209
passero	orso	27.4621639251709
passero	maiale	29.770952224731445
passero	gatto	28.394695281982422
passero	penna	29.346548080444336
passero	armadio	36.235355377197266
passero	coniglio	46.367496490478516
passero	giacca	43.116947174072266
mucca	gomma	43.3446159362793
mucca	sedia	29.969526290893555
mucca	pennello	28.745271682739258
mucca	topo	11.096864700317383
mucca	cavallo	30.53502655029297
mucca	leone	25.09305191040039
mucca	serpente	64.66077423095703
mucca	pastello	32.29084777832031
mucca	scimmia	55.41434097290039
mucca	cane	5.106907367706299
mucca	tigre	41.769775390625
mucca	pettine	53.02834701538086
mucca	camicia	49.14750671386719
mucca	gabbiano	47.0035514831543
mucca	tenda	33.42312240600586
mucca	letto	6.04144811630249
mucca	passero	27.23776626586914
mucca	gufo	27.078487396240234
mucca	poltrona	62.43524169921875
mucca	elefante	60.44657897949219
mucca	scopa	36.71836471557617
mucca	quaderno	31.34995460510254
mucca	vaso	26.027175903320312
mucca	spada	33.1448974609375
mucca	orso	26.470745086669922
mucca	maiale	28.286598205566406
mucca	gatto	28.259740829467773
mucca	penna	31.82242774963379
mucca	armadio	38.92619323730469
mucca	coniglio	47.30891799926758
mucca	giacca	39.82870864868164
gufo	gomma	39.414066314697266
gufo	sedia	27.89460563659668
gufo	pennello	32.70832061767578
gufo	topo	10.991450309753418
gufo	cavallo	37.61050796508789
gufo	leone	23.324068069458008
gufo	serpente	63.655303955078125
gufo	pastello	29.64617919921875
gufo	scimmia	55.24382019042969
gufo	cane	7.827688217163086
gufo	tigre	44.99346923828125
gufo	pettine	53.13066864013672
gufo	camicia	53.5058708190918
gufo	gabbiano	49.693634033203125
gufo	tenda	32.3790397644043
gufo	letto	5.432709693908691
gufo	passero	29.66779327392578
gufo	mucca	31.60474967956543
gufo	poltrona	61.92346954345703
gufo	elefante	62.774147033691406
gufo	scopa	37.236419677734375
gufo	quaderno	36.31564712524414
gufo	vaso	25.794158935546875
gufo	spada	32.33510208129883
gufo	orso	25.494789123535156
gufo	maiale	32.74603271484375
gufo	gatto	27.506872177124023
gufo	penna	32.777408599853516
gufo	armadio	40.87113952636719
gufo	coniglio	49.60154724121094
gufo	giacca	38.61029815673828
poltrona	gomma	46.62487030029297
poltrona	sedia	34.72462844848633
poltrona	pennello	31.46529769897461
poltrona	topo	14.250773429870605
poltrona	cavallo	36.404296875
poltrona	leone	28.695648193359375
poltrona	serpente	70.31092834472656
poltrona	pastello	29.51288604736328
poltrona	scimmia	61.098594665527344
poltrona	cane	8.71511173248291
poltrona	tigre	41.433162689208984
poltrona	pettine	58.99161148071289
poltrona	camicia	49.75535583496094
poltrona	gabbiano	49.799930572509766
poltrona	tenda	36.42543411254883
poltrona	letto	5.770628452301025
poltrona	passero	33.23567199707031
poltrona	mucca	37.49076843261719
poltrona	gufo	36.122718811035156
poltrona	elefante	71.1211166381836
poltrona	scopa	41.39118957519531
poltrona	quaderno	35.81046676635742
poltrona	vaso	34.19508361816406
poltrona	spada	36.25962829589844
poltrona	orso	27.30260467529297
poltrona	maiale	32.30340576171875
poltrona	gatto	35.53131103515625
poltrona	penna	32.185951232910156
poltrona	armadio	44.38966369628906
poltrona	coniglio	52.0156135559082
poltrona	giacca	45.588531494140625
elefante	gomma	42.09066390991211
elefante	sedia	32.000675201416016
elefante	pennello	28.813188552856445
elefante	topo	9.050511360168457
elefante	cavallo	36.114097595214844
elefante	leone	24.262741088867188
elefante	serpente	66.64186096191406
elefante	pastello	33.83272171020508
elefante	scimmia	57.919342041015625
elefante	cane	7.760051250457764
elefante	tigre	44.12900924682617
elefante	pettine	55.48463439941406
elefante	camicia	51.27569580078125
elefante	gabbiano	52.984169006347656
elefante	tenda	33.35929870605469
elefante	letto	5.27239990234375
elefante	passero	29.714250564575195
elefante	mucca	33.3312873840332
elefante	gufo	29.109821319580078
elefante	poltrona	68.16254425048828
elefante	scopa	38.45640182495117
elefante	quaderno	31.63583755493164
elefante	vaso	31.500362396240234
elefante	spada	33.61873245239258
elefante	orso	25.749067306518555
elefante	maiale	31.56085968017578
elefante	gatto	29.033157348632812
elefante	penna	35.72861862182617
elefante	armadio	38.927101135253906
elefante	coniglio	50.279483795166016
elefante	giacca	43.049808502197266
scopa	gomma	45.70744323730469
scopa	sedia	32.18097686767578
scopa	pennello	29.276611328125
scopa	topo	11.736679077148438
scopa	cavallo	31.40301513671875
scopa	leone	24.30128288269043
scopa	serpente	62.234310150146484
scopa	pastello	27.900043487548828
scopa	scimmia	50.091644287109375
scopa	cane	7.628541946411133
scopa	tigre	41.67532730102539
scopa	pettine	56.3482666015625
scopa	camicia	47.106536865234375
scopa	gabbiano	50.18593978881836
scopa	tenda	31.2501163482666
scopa	letto	4.951570510864258
scopa	passero	30.22219467163086
